                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  249999908 |   70497040 |  249959169 |  127972093
  Cycles                             |  106623320 |  106623320 |  106623320 |  106623320
  IPC                                |       2.34 |       0.66 |       2.34 |       1.20
  Time (ns)                          |   31359800 |   31359800 |   31359800 |   31359800
  Idle time (ns)                     |        167 |         -4 |        -36 |         -0
  Idle time (%)                      |       0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |    8162413 |   11762129 |    8161098 |   20700998
  num incorrect                      |      31041 |    1174080 |      31037 |    2408244
  misprediction rate                 |      0.38% |      9.08% |      0.38% |     10.42%
  mpki                               |       0.12 |      16.65 |       0.12 |      18.82
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   21689044 |    7900166 |   21685516 |   18932702
    num misses                       |         20 |         45 |         20 |     313624
    miss rate                        |      0.00% |      0.00% |      0.00% |      1.66%
    mpki                             |       0.00 |       0.00 |       0.00 |       2.45
  D-TLB                              |            |            |            |           
    num accesses                     |   73280098 |   24815928 |   73268136 |   51673583
    num misses                       |        164 |     314824 |        164 |      15605
    miss rate                        |      0.00% |      1.27% |      0.00% |      0.03%
    mpki                             |       0.00 |       4.47 |       0.00 |       0.12
  L2 TLB                             |            |            |            |           
    num accesses                     |        184 |     314869 |        184 |     329229
    num misses                       |        183 |     147432 |        183 |      14914
    miss rate                        |     99.46% |     46.82% |     99.46% |      4.53%
    mpki                             |       0.00 |       2.09 |       0.00 |       0.12
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   21689044 |    7900166 |   21685516 |   18932702
    num cache misses                 |        268 |        733 |        268 |      71968
    miss rate                        |      0.00% |      0.01% |      0.00% |      0.38%
    mpki                             |       0.00 |       0.01 |       0.00 |       0.56
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   73280098 |   24815928 |   73268136 |   51673583
    num cache misses                 |      10337 |    2838278 |      10349 |      90772
    miss rate                        |      0.01% |     11.44% |      0.01% |      0.18%
    mpki                             |       0.04 |      40.26 |       0.04 |       0.71
  Cache L2                           |            |            |            |           
    num cache accesses               |      16452 |    2936975 |      16487 |     176478
    num cache misses                 |       6547 |     411667 |       6466 |      74452
    miss rate                        |     39.79% |     14.02% |     39.22% |     42.19%
    mpki                             |       0.03 |       5.84 |       0.03 |       0.58
DRAM summary                         |            |            |            |           
  num dram accesses                  |    1534633 |          0 |          0 |          0
  average dram access latency (ns)   |    1612.83 |        inf |        inf |        inf
  average dram queueing delay        |    1549.02 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     24.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
