                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   96072853 |  249999877 |   75103029 |   10697780
  Cycles                             |  135190460 |  135190460 |  135190460 |  135190460
  IPC                                |       0.71 |       1.85 |       0.56 |       0.08
  Time (ns)                          |   39761900 |   39761900 |   39761900 |   39761900
  Idle time (ns)                     |         17 |        461 |        100 |        -27
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |    7863828 |    2177475 |   12146707 |    1099643
  num incorrect                      |     211574 |      44355 |    1429263 |     217783
  misprediction rate                 |      2.62% |      2.00% |     10.53% |     16.53%
  mpki                               |       2.20 |       0.18 |      19.03 |      20.36
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   11409691 |   21339896 |   11097204 |    1994916
    num misses                       |         55 |          3 |     189492 |          7
    miss rate                        |      0.00% |      0.00% |      1.71% |      0.00%
    mpki                             |       0.00 |       0.00 |       2.52 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   40068524 |   74943574 |   30298527 |    6400602
    num misses                       |       4875 |     120551 |      10857 |     303702
    miss rate                        |      0.01% |      0.16% |      0.04% |      4.74%
    mpki                             |       0.05 |       0.48 |       0.14 |      28.39
  L2 TLB                             |            |            |            |           
    num accesses                     |       4930 |     120554 |     200349 |     303709
    num misses                       |       3546 |     120554 |       9598 |     214580
    miss rate                        |     71.93% |    100.00% |      4.79% |     70.65%
    mpki                             |       0.04 |       0.48 |       0.13 |      20.06
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   11409691 |   21339896 |   11097204 |    1994916
    num cache misses                 |       1999 |         40 |      43723 |         70
    miss rate                        |      0.02% |      0.00% |      0.39% |      0.00%
    mpki                             |       0.02 |       0.00 |       0.58 |       0.01
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   40068524 |   74943574 |   30298527 |    6400602
    num cache misses                 |     541058 |   12724685 |      61043 |     397154
    miss rate                        |      1.35% |     16.98% |      0.20% |      6.20%
    mpki                             |       5.63 |      50.90 |       0.81 |      37.12
  Cache L2                           |            |            |            |           
    num cache accesses               |     549666 |   12724731 |     114821 |     484071
    num cache misses                 |     169304 |    2181053 |      59063 |     278101
    miss rate                        |     30.80% |     17.14% |     51.44% |     57.45%
    mpki                             |       1.76 |       8.72 |       0.79 |      26.00
DRAM summary                         |            |            |            |           
  num dram accesses                  |    7240420 |          0 |          0 |          0
  average dram access latency (ns)   |   25763.59 |        inf |        inf |        inf
  average dram queueing delay        |   25699.78 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     91.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
