                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  145435202 |  158535717 |  171496975 |  249999924
  Cycles                             |  126029160 |  126029160 |  126029160 |  126029160
  IPC                                |       1.15 |       1.26 |       1.36 |       1.98
  Time (ns)                          |   37067400 |   37067400 |   37067400 |   37067400
  Idle time (ns)                     |        -37 |        -12 |        -73 |        294
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |    2660182 |   13066047 |   21795006 |   25146717
  num incorrect                      |         21 |     299428 |    1379354 |     751036
  misprediction rate                 |      0.00% |      2.24% |      5.95% |      2.90%
  mpki                               |       0.00 |       1.89 |       8.04 |       3.00
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   13462449 |   18982256 |   27746257 |   29517026
    num misses                       |          3 |        123 |    1421347 |      12233
    miss rate                        |      0.00% |      0.00% |      5.12% |      0.04%
    mpki                             |       0.00 |       0.00 |       8.29 |       0.05
  D-TLB                              |            |            |            |           
    num accesses                     |   62301315 |   43026235 |   72202392 |  107376336
    num misses                       |      95657 |     104723 |     372430 |       3351
    miss rate                        |      0.15% |      0.24% |      0.52% |      0.00%
    mpki                             |       0.66 |       0.66 |       2.17 |       0.01
  L2 TLB                             |            |            |            |           
    num accesses                     |      95660 |     104846 |    1793777 |      15584
    num misses                       |      77733 |      89094 |     256245 |       1223
    miss rate                        |     81.26% |     84.98% |     14.29% |      7.85%
    mpki                             |       0.53 |       0.56 |       1.49 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   13462449 |   18982256 |   27746257 |   29517026
    num cache misses                 |         73 |        454 |      68489 |       7005
    miss rate                        |      0.00% |      0.00% |      0.25% |      0.02%
    mpki                             |       0.00 |       0.00 |       0.40 |       0.03
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   62301315 |   43026235 |   72202392 |  107376336
    num cache misses                 |    2864212 |    2365285 |     465011 |     815917
    miss rate                        |      4.60% |      5.50% |      0.64% |      0.76%
    mpki                             |      19.69 |      14.92 |       2.71 |       3.26
  Cache L2                           |            |            |            |           
    num cache accesses               |    3968565 |    2378634 |     538910 |     826785
    num cache misses                 |     362707 |     150650 |      70420 |      49696
    miss rate                        |      9.14% |      6.33% |     13.07% |      6.01%
    mpki                             |       2.49 |       0.95 |       0.41 |       0.20
DRAM summary                         |            |            |            |           
  num dram accesses                  |    4682051 |          0 |          0 |          0
  average dram access latency (ns)   |     195.76 |        inf |        inf |        inf
  average dram queueing delay        |     131.95 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     63.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
