                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    1595478 |    4095879 |  249999877 |  136256796
  Cycles                             |  133341880 |  133341880 |  133341880 |  133341880
  IPC                                |       0.01 |       0.03 |       1.87 |       1.02
  Time (ns)                          |   39218200 |   39218200 |   39218200 |   39218200
  Idle time (ns)                     |        167 |        -60 |        994 |        530
  Idle time (%)                      |       0.0% |      -0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |     178221 |     641670 |    2177475 |     162903
  num incorrect                      |      15513 |      33027 |      44355 |         19
  misprediction rate                 |      8.01% |      4.90% |      2.00% |      0.01%
  mpki                               |       9.72 |       8.06 |       0.18 |       0.00
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |     179393 |     660751 |   21339896 |   16070675
    num misses                       |          6 |       1763 |          3 |          6
    miss rate                        |      0.00% |      0.27% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.43 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |    1002625 |    1881298 |   74943574 |  105580559
    num misses                       |      21715 |      27823 |     120551 |      10656
    miss rate                        |      2.17% |      1.48% |      0.16% |      0.01%
    mpki                             |      13.61 |       6.79 |       0.48 |       0.08
  L2 TLB                             |            |            |            |           
    num accesses                     |      21721 |      29586 |     120554 |      10662
    num misses                       |      18003 |      21232 |     120554 |       9245
    miss rate                        |     82.88% |     71.76% |    100.00% |     86.71%
    mpki                             |      11.28 |       5.18 |       0.48 |       0.07
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     179393 |     660751 |   21339896 |   16070675
    num cache misses                 |         80 |        349 |         40 |        347
    miss rate                        |      0.04% |      0.05% |      0.00% |      0.00%
    mpki                             |       0.05 |       0.09 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |    1002625 |    1881298 |   74943574 |  105580559
    num cache misses                 |     141213 |      91401 |   12724675 |     839971
    miss rate                        |     14.08% |      4.86% |     16.98% |      0.80%
    mpki                             |      88.51 |      22.32 |      50.90 |       6.16
  Cache L2                           |            |            |            |           
    num cache accesses               |     182792 |     118945 |   12724728 |     841890
    num cache misses                 |     137317 |      84914 |    2194016 |     195213
    miss rate                        |     75.12% |     71.39% |     17.24% |     23.19%
    mpki                             |      86.07 |      20.73 |       8.78 |       1.43
DRAM summary                         |            |            |            |           
  num dram accesses                  |    7409696 |          0 |          0 |          0
  average dram access latency (ns)   |   24742.51 |        inf |        inf |        inf
  average dram queueing delay        |   24678.70 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     94.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
