                                     | Core 0     
  Instructions                       |   249999902
  Cycles                             |  1723146180
  IPC                                |        0.15
  Time (ns)                          |   506807700
  Idle time (ns)                     |         -26
  Idle time (%)                      |       -0.0%
Branch predictor stats               |            
  num correct                        |    26319774
  num incorrect                      |     2537875
  misprediction rate                 |       8.79%
  mpki                               |       10.15
TLB Summary                          |            
  I-TLB                              |            
    num accesses                     |    33138384
    num misses                       |           1
    miss rate                        |       0.00%
    mpki                             |        0.00
  D-TLB                              |            
    num accesses                     |   107960193
    num misses                       |      527762
    miss rate                        |       0.49%
    mpki                             |        2.11
Cache Summary                        |            
  Cache L1-I                         |            
    num cache accesses               |    33138384
    num cache misses                 |          11
    miss rate                        |       0.00%
    mpki                             |        0.00
  Cache L1-D                         |            
    num cache accesses               |   107960193
    num cache misses                 |    25978880
    miss rate                        |      24.06%
    mpki                             |      103.92
  Cache L2                           |            
    num cache accesses               |    27500516
    num cache misses                 |     5034995
    miss rate                        |      18.31%
    mpki                             |       20.14
DRAM summary                         |            
  num dram accesses                  |    30714587
  average dram access latency (ns)   |      182.45
  average dram queueing delay        |      113.64
  average dram bandwidth utilization |      60.00%
Coherency Traffic                    |            
  num loads from dram                |           0
  num loads from dram cache          |           0
  num loads from remote cache        |           0
