                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   18064779 |  212342634 |   14985258 |  249999901
  Cycles                             |  112524020 |  112524020 |  112524020 |  112524020
  IPC                                |       0.16 |       1.89 |       0.13 |       2.22
  Time (ns)                          |   33095300 |   33095300 |   33095300 |   33095300
  Idle time (ns)                     |        -91 |        101 |          7 |       1142
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |    2809726 |    7699353 |    2984764 |    8723419
  num incorrect                      |     162035 |         72 |     317015 |      44972
  misprediction rate                 |      5.45% |      0.00% |      9.60% |      0.51%
  mpki                               |       8.97 |       0.00 |      21.16 |       0.18
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    2974793 |   17650494 |    2295749 |   20402598
    num misses                       |      19855 |          7 |          3 |         62
    miss rate                        |      0.67% |      0.00% |      0.00% |      0.00%
    mpki                             |       1.10 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |    8384360 |   70262817 |    6094157 |  142141424
    num misses                       |     144304 |      33924 |    1220693 |      13146
    miss rate                        |      1.72% |      0.05% |     20.03% |      0.01%
    mpki                             |       7.99 |       0.16 |      81.46 |       0.05
  L2 TLB                             |            |            |            |           
    num accesses                     |     164159 |      33931 |    1220696 |      13208
    num misses                       |     109961 |      31364 |     897396 |       6516
    miss rate                        |     66.98% |     92.43% |     73.52% |     49.33%
    mpki                             |       6.09 |       0.15 |      59.89 |       0.03
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    2974793 |   17650494 |    2295749 |   20402598
    num cache misses                 |        545 |        101 |         64 |        355
    miss rate                        |      0.02% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.03 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |    8384360 |   70262817 |    6094157 |  142141424
    num cache misses                 |     458706 |    2000333 |    1613121 |    1007756
    miss rate                        |      5.47% |      2.85% |     26.47% |      0.71%
    mpki                             |      25.39 |       9.42 |     107.65 |       4.03
  Cache L2                           |            |            |            |           
    num cache accesses               |     574219 |    2141322 |    1813519 |    1008918
    num cache misses                 |     247910 |     861124 |     299627 |     482912
    miss rate                        |     43.17% |     40.21% |     16.52% |     47.86%
    mpki                             |      13.72 |       4.06 |      19.99 |       1.93
DRAM summary                         |            |            |            |           
  num dram accesses                  |    6108348 |          0 |          0 |          0
  average dram access latency (ns)   |     295.98 |        inf |        inf |        inf
  average dram queueing delay        |     232.18 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     92.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
