                                     | Core 0    
  Instructions                       |  249999888
  Cycles                             |  132572800
  IPC                                |       1.89
  Time (ns)                          |   38992000
  Idle time (ns)                     |        -20
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |   45969008
  num incorrect                      |     966915
  misprediction rate                 |      2.06%
  mpki                               |       3.87
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   32606591
    num misses                       |     641605
    miss rate                        |      1.97%
    mpki                             |       2.57
  D-TLB                              |           
    num accesses                     |   77831565
    num misses                       |    1367023
    miss rate                        |      1.76%
    mpki                             |       5.47
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   32606591
    num cache misses                 |       2207
    miss rate                        |      0.01%
    mpki                             |       0.01
  Cache L1-D                         |           
    num cache accesses               |   77831565
    num cache misses                 |    2826130
    miss rate                        |      3.63%
    mpki                             |      11.30
  Cache L2                           |           
    num cache accesses               |    2899866
    num cache misses                 |     636776
    miss rate                        |     21.96%
    mpki                             |       2.55
DRAM summary                         |           
  num dram accesses                  |    1302979
  average dram access latency (ns)   |     110.11
  average dram queueing delay        |      46.30
  average dram bandwidth utilization |     16.00%
Coherency Traffic                    |           
  num loads from dram                |          0
  num loads from dram cache          |          0
  num loads from remote cache        |          0
