                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  250000173 |  178158361 |  198548284 |  205540769
  Cycles                             |  168684540 |  168684540 |  168684540 |  168684540
  IPC                                |       1.48 |       1.06 |       1.18 |       1.22
  Time (ns)                          |   49613100 |   49613100 |   49613100 |   49613100
  Idle time (ns)                     |        426 |        -31 |        -70 |        -35
  Idle time (%)                      |       0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |     304251 |    2831529 |   25723838 |   11407689
  num incorrect                      |         19 |         21 |    1582065 |    1936357
  misprediction rate                 |      0.01% |      0.00% |      5.79% |     14.51%
  mpki                               |       0.00 |       0.00 |       7.97 |       9.42
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   29479678 |   16655425 |   31662958 |   23803781
    num misses                       |          6 |          3 |    1550255 |         12
    miss rate                        |      0.00% |      0.00% |      4.90% |      0.00%
    mpki                             |       0.00 |       0.00 |       7.81 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |  193748574 |   86412783 |   83520268 |   99316294
    num misses                       |      19821 |     141552 |     431762 |       5767
    miss rate                        |      0.01% |      0.16% |      0.52% |      0.01%
    mpki                             |       0.08 |       0.79 |       2.17 |       0.03
  L2 TLB                             |            |            |            |           
    num accesses                     |      19827 |     141555 |    1982017 |       5779
    num misses                       |      17034 |     115006 |     304897 |        581
    miss rate                        |     85.91% |     81.24% |     15.38% |     10.05%
    mpki                             |       0.07 |       0.65 |       1.54 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   29479678 |   16655425 |   31662958 |   23803781
    num cache misses                 |        347 |         73 |      74211 |        285
    miss rate                        |      0.00% |      0.00% |      0.23% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.37 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |  193748574 |   86412783 |   83520268 |   99316294
    num cache misses                 |    1557224 |    3161514 |     643057 |    1967679
    miss rate                        |      0.80% |      3.66% |      0.77% |      1.98%
    mpki                             |       6.23 |      17.75 |       3.24 |       9.57
  Cache L2                           |            |            |            |           
    num cache accesses               |    1558605 |    4408045 |     722860 |    2001108
    num cache misses                 |     331217 |     486185 |     205633 |      46262
    miss rate                        |     21.25% |     11.03% |     28.45% |      2.31%
    mpki                             |       1.32 |       2.73 |       1.04 |       0.23
DRAM summary                         |            |            |            |           
  num dram accesses                  |    5815322 |          0 |          0 |          0
  average dram access latency (ns)   |    1147.69 |        inf |        inf |        inf
  average dram queueing delay        |    1083.88 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     58.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
