                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   10104633 |  229441176 |  249999890 |   22196960
  Cycles                             |  197289760 |  197289760 |  197289760 |  197289760
  IPC                                |       0.05 |       1.16 |       1.27 |       0.11
  Time (ns)                          |   58026400 |   58026400 |   58026400 |   58026400
  Idle time (ns)                     |        -97 |       6194 |       6699 |       4628
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |     243810 |     277361 |   42421595 |    3583773
  num incorrect                      |         15 |         19 |     101717 |     422059
  misprediction rate                 |      0.01% |      0.01% |      0.24% |     10.54%
  mpki                               |       0.00 |       0.00 |       0.41 |      19.01
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |     628644 |   27057609 |   32037627 |    3282554
    num misses                       |          4 |          6 |          4 |      55214
    miss rate                        |      0.00% |      0.00% |      0.00% |      1.68%
    mpki                             |       0.00 |       0.00 |       0.00 |       2.49
  D-TLB                              |            |            |            |           
    num accesses                     |    3705021 |  177804219 |   74242672 |    8965439
    num misses                       |      14199 |      18102 |     103574 |       3043
    miss rate                        |      0.38% |      0.01% |      0.14% |      0.03%
    mpki                             |       1.41 |       0.08 |       0.41 |       0.14
  L2 TLB                             |            |            |            |           
    num accesses                     |      14203 |      18108 |     103578 |      58257
    num misses                       |      14201 |      15591 |     103578 |       2872
    miss rate                        |     99.99% |     86.10% |    100.00% |      4.93%
    mpki                             |       1.41 |       0.07 |       0.41 |       0.13
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     628644 |   27057609 |   32037627 |    3282554
    num cache misses                 |         25 |        347 |         17 |      13746
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.42%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.62
  Cache L1-D                         |            |            |            |           
    num cache accesses               |    3705021 |  177804219 |   74242672 |    8965439
    num cache misses                 |     205577 |    1423565 |    6626221 |      20842
    miss rate                        |      5.55% |      0.80% |      8.93% |      0.23%
    mpki                             |      20.34 |       6.20 |      26.50 |       0.94
  Cache L2                           |            |            |            |           
    num cache accesses               |     205678 |    1425735 |    9374654 |      38712
    num cache misses                 |     147544 |     322456 |        145 |      22656
    miss rate                        |     71.74% |     22.62% |      0.00% |     58.52%
    mpki                             |      14.60 |       1.41 |       0.00 |       1.02
DRAM summary                         |            |            |            |           
  num dram accesses                  |   11163682 |          0 |          0 |          0
  average dram access latency (ns)   |    9598.93 |        inf |        inf |        inf
  average dram queueing delay        |    9535.13 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     96.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
