                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  249999901 |   18370464 |  168796126 |   26840155
  Cycles                             |  119457980 |  119457980 |  119457980 |  119457980
  IPC                                |       2.09 |       0.15 |       1.41 |       0.22
  Time (ns)                          |   35134700 |   35134700 |   35134700 |   35134700
  Idle time (ns)                     |        743 |          4 |        141 |         -8
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |    8723419 |    1898434 |     211275 |    5352743
  num incorrect                      |      44972 |     367984 |         19 |     553491
  misprediction rate                 |      0.51% |     16.24% |      0.01% |      9.37%
  mpki                               |       0.18 |      20.03 |       0.00 |      20.62
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   20402598 |    3386408 |   19897264 |    4096542
    num misses                       |         62 |          7 |          6 |          3
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |  142141424 |   10982789 |  130851186 |   11030860
    num misses                       |      13146 |     530992 |      13705 |    2143089
    miss rate                        |      0.01% |      4.83% |      0.01% |     19.43%
    mpki                             |       0.05 |      28.90 |       0.08 |      79.85
  L2 TLB                             |            |            |            |           
    num accesses                     |      13208 |     530999 |      13711 |    2143092
    num misses                       |       6516 |     402941 |      11834 |    1580104
    miss rate                        |     49.33% |     75.88% |     86.31% |     73.73%
    mpki                             |       0.03 |      21.93 |       0.07 |      58.87
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   20402598 |    3386408 |   19897264 |    4096542
    num cache misses                 |        355 |         71 |        347 |         64
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |  142141424 |   10982789 |  130851186 |   11030860
    num cache misses                 |    1007740 |     740808 |    1067034 |    2850614
    miss rate                        |      0.71% |      6.75% |      0.82% |     25.84%
    mpki                             |       4.03 |      40.33 |       6.32 |     106.21
  Cache L2                           |            |            |            |           
    num cache accesses               |    1008913 |     878936 |    1068601 |    3190388
    num cache misses                 |     482999 |     362299 |     245190 |     354433
    miss rate                        |     47.87% |     41.22% |     22.94% |     11.11%
    mpki                             |       1.93 |      19.72 |       1.45 |      13.21
DRAM summary                         |            |            |            |           
  num dram accesses                  |    5765101 |          0 |          0 |          0
  average dram access latency (ns)   |    8712.26 |        inf |        inf |        inf
  average dram queueing delay        |    8648.45 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     82.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
