                                     | Core 0    
  Instructions                       |  249999900
  Cycles                             |  192703500
  IPC                                |       1.30
  Time (ns)                          |   56677500
  Idle time (ns)                     |        -24
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |   34772265
  num incorrect                      |    1973411
  misprediction rate                 |      5.37%
  mpki                               |       7.89
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   38629550
    num misses                       |         11
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   95682742
    num misses                       |      44244
    miss rate                        |      0.05%
    mpki                             |       0.18
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   38629550
    num cache misses                 |        142
    miss rate                        |      0.00%
    mpki                             |       0.00
  Cache L1-D                         |           
    num cache accesses               |   95682742
    num cache misses                 |    1124272
    miss rate                        |      1.17%
    mpki                             |       4.50
  Cache L2                           |           
    num cache accesses               |    1353481
    num cache misses                 |     426130
    miss rate                        |     31.48%
    mpki                             |       1.70
DRAM summary                         |           
  num dram accesses                  |    1189531
  average dram access latency (ns)   |   57751.83
  average dram queueing delay        |   57688.02
  average dram bandwidth utilization |     10.00%
Coherency Traffic                    |           
  num loads from dram                |          0
  num loads from dram cache          |          0
  num loads from remote cache        |          0
