                                     | Core 0    
  Instructions                       |  249999882
  Cycles                             |  672067800
  IPC                                |       0.37
  Time (ns)                          |  197667000
  Idle time (ns)                     |        -61
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |   24956066
  num incorrect                      |     655336
  misprediction rate                 |      2.56%
  mpki                               |       2.62
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   43538914
    num misses                       |         45
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |  164600809
    num misses                       |     457655
    miss rate                        |      0.28%
    mpki                             |       1.83
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   43538914
    num cache misses                 |        376
    miss rate                        |      0.00%
    mpki                             |       0.00
  Cache L1-D                         |           
    num cache accesses               |  164600809
    num cache misses                 |   19109134
    miss rate                        |     11.61%
    mpki                             |      76.44
  Cache L2                           |           
    num cache accesses               |   19144720
    num cache misses                 |     298856
    miss rate                        |      1.56%
    mpki                             |       1.20
DRAM summary                         |           
  num dram accesses                  |     572044
  average dram access latency (ns)   |     315.72
  average dram queueing delay        |     246.91
  average dram bandwidth utilization |      2.00%
Coherency Traffic                    |           
  num loads from dram                |          0
  num loads from dram cache          |          0
  num loads from remote cache        |          0
