                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  100935361 |   10034815 |   82200851 |  249999905
  Cycles                             |  144866860 |  144866860 |  144866860 |  144866860
  IPC                                |       0.70 |       0.07 |       0.57 |       1.73
  Time (ns)                          |   42607900 |   42607900 |   42607900 |   42607900
  Idle time (ns)                     |         73 |        -72 |        -98 |       3308
  Idle time (%)                      |       0.0% |      -0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |    2302899 |    1551850 |    6726817 |    8817242
  num incorrect                      |         13 |      90310 |     147631 |        378
  misprediction rate                 |      0.00% |      5.50% |      2.15% |      0.00%
  mpki                               |       0.00 |       9.00 |       1.80 |       0.00
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    9168042 |    1645222 |    9803075 |   21253560
    num misses                       |          1 |      12137 |         74 |         11
    miss rate                        |      0.00% |      0.74% |      0.00% |      0.00%
    mpki                             |       0.00 |       1.21 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   32448732 |    4643860 |   22181777 |   82958077
    num misses                       |      40331 |      69058 |      51487 |      48169
    miss rate                        |      0.12% |      1.49% |      0.23% |      0.06%
    mpki                             |       0.40 |       6.88 |       0.63 |       0.19
  L2 TLB                             |            |            |            |           
    num accesses                     |      40332 |      81195 |      51561 |      48180
    num misses                       |      32690 |      53750 |      44229 |      44630
    miss rate                        |     81.05% |     66.20% |     85.78% |     92.63%
    mpki                             |       0.32 |       5.36 |       0.54 |       0.18
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    9168042 |    1645222 |    9803075 |   21253560
    num cache misses                 |         13 |        468 |        448 |        170
    miss rate                        |      0.00% |      0.03% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.05 |       0.01 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   32448732 |    4643860 |   22181777 |   82958077
    num cache misses                 |    2358961 |     245392 |    1210700 |    2627596
    miss rate                        |      7.27% |      5.28% |      5.46% |      3.17%
    mpki                             |      23.37 |      24.45 |      14.73 |      10.51
  Cache L2                           |            |            |            |           
    num cache accesses               |    3239057 |     307931 |    1224848 |    2848786
    num cache misses                 |     154944 |     154400 |     138620 |    1064865
    miss rate                        |      4.78% |     50.14% |     11.32% |     37.38%
    mpki                             |       1.54 |      15.39 |       1.69 |       4.26
DRAM summary                         |            |            |            |           
  num dram accesses                  |    8116006 |          0 |          0 |          0
  average dram access latency (ns)   |    1234.16 |        inf |        inf |        inf
  average dram queueing delay        |    1170.36 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     95.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
