                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  239968334 |   23225322 |   43830507 |  249999909
  Cycles                             |  202380240 |  202380240 |  202380240 |  202380240
  IPC                                |       1.19 |       0.11 |       0.22 |       1.24
  Time (ns)                          |   59523600 |   59523600 |   59523600 |   59523600
  Idle time (ns)                     |         72 |        -73 |        -38 |        385
  Idle time (%)                      |       0.0% |      -0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |    8553406 |    3586367 |     581914 |    8795319
  num incorrect                      |         49 |     211776 |         15 |         49
  misprediction rate                 |      0.00% |      5.58% |      0.00% |      0.00%
  mpki                               |       0.00 |       9.12 |       0.00 |       0.00
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   20146942 |    3829639 |    3164424 |   21008862
    num misses                       |          4 |      28264 |          4 |          4
    miss rate                        |      0.00% |      0.74% |      0.00% |      0.00%
    mpki                             |       0.00 |       1.22 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |  145545893 |   10807790 |   14777927 |  152178201
    num misses                       |      68508 |     185317 |     101862 |      71385
    miss rate                        |      0.05% |      1.71% |      0.69% |      0.05%
    mpki                             |       0.29 |       7.98 |       2.32 |       0.29
  L2 TLB                             |            |            |            |           
    num accesses                     |      68512 |     213581 |     101866 |      71389
    num misses                       |      68500 |     140832 |     101864 |      71377
    miss rate                        |     99.98% |     65.94% |    100.00% |     99.98%
    mpki                             |       0.29 |       6.06 |       2.32 |       0.29
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   20146942 |    3829639 |    3164424 |   21008862
    num cache misses                 |         99 |        545 |         25 |         99
    miss rate                        |      0.00% |      0.01% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.02 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |  145545893 |   10807790 |   14777927 |  152178201
    num cache misses                 |    4579667 |     593368 |     913495 |    4773222
    miss rate                        |      3.15% |      5.49% |      6.18% |      3.14%
    mpki                             |      19.08 |      25.55 |      20.84 |      19.09
  Cache L2                           |            |            |            |           
    num cache accesses               |    4749511 |     743684 |     913602 |    4943087
    num cache misses                 |     111674 |     471280 |     857242 |     115678
    miss rate                        |      2.35% |     63.37% |     93.83% |      2.34%
    mpki                             |       0.47 |      20.29 |      19.56 |       0.46
DRAM summary                         |            |            |            |           
  num dram accesses                  |   11487656 |          0 |          0 |          0
  average dram access latency (ns)   |   13766.44 |        inf |        inf |        inf
  average dram queueing delay        |   13702.64 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     96.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
