                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  249999900 |  203298211 |  203975659 |   91015435
  Cycles                             |  169946960 |  169946960 |  169946960 |  169946960
  IPC                                |       1.47 |       1.20 |       1.20 |       0.54
  Time (ns)                          |   49984400 |   49984400 |   49984400 |   49984400
  Idle time (ns)                     |        244 |        -52 |         46 |         97
  Idle time (%)                      |       0.0% |      -0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |   20458304 |   26350062 |   26437386 |   13692864
  num incorrect                      |     433430 |    1606478 |    1610254 |     928553
  misprediction rate                 |      2.07% |      5.75% |      5.74% |      6.35%
  mpki                               |       1.73 |       7.90 |       7.89 |      10.20
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   29710477 |   32440177 |   32554135 |   15030582
    num misses                       |        170 |    1550255 |    1550255 |     126603
    miss rate                        |      0.00% |      4.78% |      4.76% |      0.84%
    mpki                             |       0.00 |       7.63 |       7.60 |       1.39
  D-TLB                              |            |            |            |           
    num accesses                     |   67103432 |   85796209 |   86128020 |   42078320
    num misses                       |     148851 |     441123 |     441461 |     702503
    miss rate                        |      0.22% |      0.51% |      0.51% |      1.67%
    mpki                             |       0.60 |       2.17 |       2.16 |       7.72
  L2 TLB                             |            |            |            |           
    num accesses                     |     149021 |    1991378 |    1991716 |     829106
    num misses                       |     126873 |     314246 |     314584 |     520948
    miss rate                        |     85.14% |     15.78% |     15.79% |     62.83%
    mpki                             |       0.51 |       1.55 |       1.54 |       5.72
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   29710477 |   32440177 |   32554135 |   15030582
    num cache misses                 |        473 |      74215 |      74215 |        665
    miss rate                        |      0.00% |      0.23% |      0.23% |      0.00%
    mpki                             |       0.00 |       0.37 |       0.36 |       0.01
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   67103432 |   85796209 |   86128020 |   42078320
    num cache misses                 |    3628476 |     705539 |     713451 |    2130371
    miss rate                        |      5.41% |      0.82% |      0.83% |      5.06%
    mpki                             |      14.51 |       3.47 |       3.50 |      23.41
  Cache L2                           |            |            |            |           
    num cache accesses               |    3635226 |     784771 |     792661 |    2428526
    num cache misses                 |      93096 |     305219 |     302844 |    1043064
    miss rate                        |      2.56% |     38.89% |     38.21% |     42.95%
    mpki                             |       0.37 |       1.50 |       1.48 |      11.46
DRAM summary                         |            |            |            |           
  num dram accesses                  |    2511508 |          0 |          0 |          0
  average dram access latency (ns)   |      71.57 |        inf |        inf |        inf
  average dram queueing delay        |       7.77 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     25.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
