                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  211515585 |  210155471 |  249999908 |  211513340
  Cycles                             |  104482680 |  104482680 |  104482680 |  104482680
  IPC                                |       2.02 |       2.01 |       2.39 |       2.02
  Time (ns)                          |   30730200 |   30730200 |   30730200 |   30730200
  Idle time (ns)                     |         91 |         -0 |        161 |         79
  Idle time (%)                      |       0.0% |      -0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |   20872466 |    5477870 |    8162413 |   20872271
  num incorrect                      |     620244 |        490 |      31041 |     620239
  misprediction rate                 |      2.89% |      0.01% |      0.38% |      2.89%
  mpki                               |       2.93 |       0.00 |       0.12 |       2.93
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   25050754 |   20370667 |   21689044 |   25050383
    num misses                       |      11541 |          5 |         20 |      11541
    miss rate                        |      0.05% |      0.00% |      0.00% |      0.05%
    mpki                             |       0.05 |       0.00 |       0.00 |       0.05
  D-TLB                              |            |            |            |           
    num accesses                     |   90780741 |   95103949 |   73280098 |   90779848
    num misses                       |       2788 |      30158 |        164 |       2788
    miss rate                        |      0.00% |      0.03% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.14 |       0.00 |       0.01
  L2 TLB                             |            |            |            |           
    num accesses                     |      14329 |      30163 |        184 |      14329
    num misses                       |       1067 |      28269 |        183 |       1067
    miss rate                        |      7.45% |     93.72% |     99.46% |      7.45%
    mpki                             |       0.01 |       0.13 |       0.00 |       0.01
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   25050754 |   20370667 |   21689044 |   25050383
    num cache misses                 |       6406 |        119 |        268 |       6406
    miss rate                        |      0.03% |      0.00% |      0.00% |      0.03%
    mpki                             |       0.03 |       0.00 |       0.00 |       0.03
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   90780741 |   95103949 |   73280098 |   90779848
    num cache misses                 |     691561 |    2155610 |      10443 |     691516
    miss rate                        |      0.76% |      2.27% |      0.01% |      0.76%
    mpki                             |       3.27 |      10.26 |       0.04 |       3.27
  Cache L2                           |            |            |            |           
    num cache accesses               |     699722 |    2274782 |      16677 |     699684
    num cache misses                 |      29835 |     304792 |       5593 |      29995
    miss rate                        |      4.26% |     13.40% |     33.54% |      4.29%
    mpki                             |       0.14 |       1.45 |       0.02 |       0.14
DRAM summary                         |            |            |            |           
  num dram accesses                  |    1835568 |          0 |          0 |          0
  average dram access latency (ns)   |     204.93 |        inf |        inf |        inf
  average dram queueing delay        |     141.13 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     29.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
