                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     791263 |    3592152 |  249999877 |  127409177
  Cycles                             |  132687040 |  132687040 |  132687040 |  132687040
  IPC                                |       0.01 |       0.03 |       1.88 |       0.96
  Time (ns)                          |   39025600 |   39025600 |   39025600 |   39025600
  Idle time (ns)                     |       1595 |        -76 |       2686 |       2117
  Idle time (%)                      |       0.0% |      -0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |     136295 |     559259 |    2177475 |     157328
  num incorrect                      |      15169 |      28514 |      44355 |         19
  misprediction rate                 |     10.01% |      4.85% |      2.00% |      0.01%
  mpki                               |      19.17 |       7.94 |       0.18 |       0.00
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |     108031 |     577739 |   21339896 |   15021218
    num misses                       |          1 |       1759 |          3 |          6
    miss rate                        |      0.00% |      0.30% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.49 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |     325202 |    1652169 |   74943574 |   98755104
    num misses                       |      19744 |      25812 |     120551 |      10234
    miss rate                        |      6.07% |      1.56% |      0.16% |      0.01%
    mpki                             |      24.95 |       7.19 |       0.48 |       0.08
  L2 TLB                             |            |            |            |           
    num accesses                     |      19745 |      27571 |     120554 |      10240
    num misses                       |      16122 |      19419 |     120554 |       8887
    miss rate                        |     81.65% |     70.43% |    100.00% |     86.79%
    mpki                             |      20.38 |       5.41 |       0.48 |       0.07
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     108031 |     577739 |   21339896 |   15021218
    num cache misses                 |          3 |        349 |         40 |        347
    miss rate                        |      0.00% |      0.06% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.10 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     325202 |    1652169 |   74943574 |   98755104
    num cache misses                 |      68426 |      80472 |   12724660 |     801382
    miss rate                        |     21.04% |      4.87% |     16.98% |      0.81%
    mpki                             |      86.48 |      22.40 |      50.90 |       6.29
  Cache L2                           |            |            |            |           
    num cache accesses               |      79143 |     105247 |   12724713 |     803319
    num cache misses                 |      45990 |      58770 |    2199144 |     191435
    miss rate                        |     58.11% |     55.84% |     17.28% |     23.83%
    mpki                             |      58.12 |      16.36 |       8.80 |       1.50
DRAM summary                         |            |            |            |           
  num dram accesses                  |    7360580 |          0 |          0 |          0
  average dram access latency (ns)   |   26338.45 |        inf |        inf |        inf
  average dram queueing delay        |   26274.64 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     94.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
