                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   85483627 |  249999890 |   24789220 |   12857896
  Cycles                             |  190392180 |  190392180 |  190392180 |  190392180
  IPC                                |       0.45 |       1.31 |       0.13 |       0.07
  Time (ns)                          |   55997700 |   55997700 |   55997700 |   55997700
  Idle time (ns)                     |     106199 |     538788 |        -94 |     106232
  Idle time (%)                      |       0.2% |       1.0% |      -0.0% |       0.2%
Branch predictor stats               |            |            |            |           
  num correct                        |    3128482 |   42421595 |    2646201 |    1080038
  num incorrect                      |         62 |     101717 |      77128 |      26664
  misprediction rate                 |      0.00% |      0.24% |      2.83% |      2.41%
  mpki                               |       0.00 |       0.41 |       3.11 |       2.07
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    7164859 |   32037627 |    2963822 |    1557437
    num misses                       |          7 |          4 |       1827 |         49
    miss rate                        |      0.00% |      0.00% |      0.06% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.07 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   28209122 |   74242672 |   10450327 |    3596401
    num misses                       |      13061 |     103574 |        439 |       8779
    miss rate                        |      0.05% |      0.14% |      0.00% |      0.24%
    mpki                             |       0.15 |       0.41 |       0.02 |       0.68
  L2 TLB                             |            |            |            |           
    num accesses                     |      13068 |     103578 |       2266 |       8828
    num misses                       |      11913 |     103578 |        357 |       7376
    miss rate                        |     91.16% |    100.00% |     15.75% |     83.55%
    mpki                             |       0.14 |       0.41 |       0.01 |       0.57
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    7164859 |   32037627 |    2963822 |    1557437
    num cache misses                 |         97 |         17 |       1595 |        436
    miss rate                        |      0.00% |      0.00% |      0.05% |      0.03%
    mpki                             |       0.00 |       0.00 |       0.06 |       0.03
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   28209122 |   74242672 |   10450327 |    3596401
    num cache misses                 |     807603 |    6626221 |     102672 |     188912
    miss rate                        |      2.86% |      8.93% |      0.98% |      5.25%
    mpki                             |       9.45 |      26.50 |       4.14 |      14.69
  Cache L2                           |            |            |            |           
    num cache accesses               |     863931 |    9374654 |     106463 |     191158
    num cache misses                 |     349794 |        249 |      22651 |      26973
    miss rate                        |     40.49% |      0.00% |     21.28% |     14.11%
    mpki                             |       4.09 |       0.00 |       0.91 |       2.10
DRAM summary                         |            |            |            |           
  num dram accesses                  |   10622913 |          0 |          0 |          0
  average dram access latency (ns)   |  270148.82 |        inf |        inf |        inf
  average dram queueing delay        |  270085.02 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     94.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
