                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  200583950 |  249999905 |   50228024 |  163569618
  Cycles                             |  138325600 |  138325600 |  138325600 |  138325600
  IPC                                |       1.45 |       1.81 |       0.36 |       1.18
  Time (ns)                          |   40684000 |   40684000 |   40684000 |   40684000
  Idle time (ns)                     |        600 |        873 |        506 |        -28
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |     245241 |    8817242 |    7686013 |   20785880
  num incorrect                      |         19 |        378 |     483713 |    1315704
  misprediction rate                 |      0.01% |      0.00% |      5.92% |      5.95%
  mpki                               |       0.00 |       0.00 |       9.63 |       8.04
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   23651244 |   21253560 |    8313414 |   26463196
    num misses                       |          6 |         11 |      61855 |    1354980
    miss rate                        |      0.00% |      0.00% |      0.74% |      5.12%
    mpki                             |       0.00 |       0.00 |       1.23 |       8.28
  D-TLB                              |            |            |            |           
    num accesses                     |  155458087 |   82958077 |   23283908 |   68868236
    num misses                       |      15974 |      48169 |     400220 |     354789
    miss rate                        |      0.01% |      0.06% |      1.72% |      0.52%
    mpki                             |       0.08 |       0.19 |       7.97 |       2.17
  L2 TLB                             |            |            |            |           
    num accesses                     |      15980 |      48180 |     462075 |    1709769
    num misses                       |      13754 |      44630 |     301854 |     244196
    miss rate                        |     86.07% |     92.63% |     65.33% |     14.28%
    mpki                             |       0.07 |       0.18 |       6.01 |       1.49
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   23651244 |   21253560 |    8313414 |   26463196
    num cache misses                 |        347 |        170 |        649 |      65305
    miss rate                        |      0.00% |      0.00% |      0.01% |      0.25%
    mpki                             |       0.00 |       0.00 |       0.01 |       0.40
  Cache L1-D                         |            |            |            |           
    num cache accesses               |  155458087 |   82958077 |   23283908 |   68868236
    num cache misses                 |    1250898 |    2627531 |    1236426 |     444266
    miss rate                        |      0.80% |      3.17% |      5.31% |      0.65%
    mpki                             |       6.24 |      10.51 |      24.62 |       2.72
  Cache L2                           |            |            |            |           
    num cache accesses               |    1252501 |    2848409 |    1506517 |     515267
    num cache misses                 |     280437 |    1062995 |     423067 |      62213
    miss rate                        |     22.39% |     37.32% |     28.08% |     12.07%
    mpki                             |       1.40 |       4.25 |       8.42 |       0.38
DRAM summary                         |            |            |            |           
  num dram accesses                  |    6858500 |          0 |          0 |          0
  average dram access latency (ns)   |    1702.81 |        inf |        inf |        inf
  average dram queueing delay        |    1639.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     84.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
