                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  249999908 |  166530078 |   63158466 |  213976454
  Cycles                             |  115507520 |  115507520 |  115507520 |  115507520
  IPC                                |       2.16 |       1.44 |       0.55 |       1.85
  Time (ns)                          |   33972800 |   33972800 |   33972800 |   33972800
  Idle time (ns)                     |        492 |         77 |         -2 |         79
  Idle time (%)                      |       0.0% |       0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |    8162413 |     209849 |     775678 |    7758220
  num incorrect                      |      31041 |         19 |         15 |         72
  misprediction rate                 |      0.38% |      0.01% |      0.00% |      0.00%
  mpki                               |       0.12 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   21689044 |   19628480 |    4617654 |   17785538
    num misses                       |         20 |          6 |          4 |          7
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   73280098 |  129103220 |   21123698 |   70804407
    num misses                       |        164 |      13594 |     152102 |      34181
    miss rate                        |      0.00% |      0.01% |      0.72% |      0.05%
    mpki                             |       0.00 |       0.08 |       2.41 |       0.16
  L2 TLB                             |            |            |            |           
    num accesses                     |        184 |      13600 |     152106 |      34188
    num misses                       |        183 |      11740 |     152104 |      31609
    miss rate                        |     99.46% |     86.32% |    100.00% |     92.46%
    mpki                             |       0.00 |       0.07 |       2.41 |       0.15
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   21689044 |   19628480 |    4617654 |   17785538
    num cache misses                 |        268 |        347 |         25 |        101
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   73280098 |  129103220 |   21123698 |   70804407
    num cache misses                 |      16772 |    1056993 |    1319155 |    2015712
    miss rate                        |      0.02% |      0.82% |      6.24% |      2.85%
    mpki                             |       0.07 |       6.35 |      20.89 |       9.42
  Cache L2                           |            |            |            |           
    num cache accesses               |      28855 |    1058516 |    1319225 |    2157759
    num cache misses                 |       9912 |     241532 |    1149402 |     867365
    miss rate                        |     34.35% |     22.82% |     87.13% |     40.20%
    mpki                             |       0.04 |       1.45 |      18.20 |       4.05
DRAM summary                         |            |            |            |           
  num dram accesses                  |    6131977 |          0 |          0 |          0
  average dram access latency (ns)   |    1809.69 |        inf |        inf |        inf
  average dram queueing delay        |    1745.88 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     90.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
