                                     | Core 0    
  Instructions                       |  249999895
  Cycles                             |  496573740
  IPC                                |       0.50
  Time (ns)                          |  146051100
  Idle time (ns)                     |        -78
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |   34614607
  num incorrect                      |   12605145
  misprediction rate                 |     26.69%
  mpki                               |      50.42
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   42196387
    num misses                       |          8
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   86496643
    num misses                       |    5615991
    miss rate                        |      6.49%
    mpki                             |      22.46
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   42196387
    num cache misses                 |        129
    miss rate                        |      0.00%
    mpki                             |       0.00
  Cache L1-D                         |           
    num cache accesses               |   86496643
    num cache misses                 |    7122727
    miss rate                        |      8.23%
    mpki                             |      28.49
  Cache L2                           |           
    num cache accesses               |    7496653
    num cache misses                 |     419010
    miss rate                        |      5.59%
    mpki                             |       1.68
DRAM summary                         |           
  num dram accesses                  |    1014167
  average dram access latency (ns)   |      73.11
  average dram queueing delay        |       4.30
  average dram bandwidth utilization |      6.00%
Coherency Traffic                    |           
  num loads from dram                |          0
  num loads from dram cache          |          0
  num loads from remote cache        |          0
