                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  249747433 |   50862446 |  249999908 |  129619373
  Cycles                             |  105254820 |  105254820 |  105254820 |  105254820
  IPC                                |       2.37 |       0.48 |       2.38 |       1.23
  Time (ns)                          |   30957300 |   30957300 |   30957300 |   30957300
  Idle time (ns)                     |         67 |         -1 |        405 |         27
  Idle time (%)                      |       0.0% |      -0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |    8154279 |    8229326 |    8162413 |   20966029
  num incorrect                      |      31016 |     785439 |      31041 |    2438823
  misprediction rate                 |      0.38% |      8.71% |      0.38% |     10.42%
  mpki                               |       0.12 |      15.44 |       0.12 |      18.82
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   21667197 |    5657588 |   21689044 |   19176851
    num misses                       |         20 |         45 |         20 |     317659
    miss rate                        |      0.00% |      0.00% |      0.00% |      1.66%
    mpki                             |       0.00 |       0.00 |       0.00 |       2.45
  D-TLB                              |            |            |            |           
    num accesses                     |   73206092 |   19042433 |   73280098 |   52344139
    num misses                       |        164 |     260066 |        164 |      15790
    miss rate                        |      0.00% |      1.37% |      0.00% |      0.03%
    mpki                             |       0.00 |       5.11 |       0.00 |       0.12
  L2 TLB                             |            |            |            |           
    num accesses                     |        184 |     260111 |        184 |     333449
    num misses                       |        183 |     121334 |        183 |      15110
    miss rate                        |     99.46% |     46.65% |     99.46% |      4.53%
    mpki                             |       0.00 |       2.39 |       0.00 |       0.12
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   21667197 |    5657588 |   21689044 |   19176851
    num cache misses                 |        268 |        728 |        268 |      73087
    miss rate                        |      0.00% |      0.01% |      0.00% |      0.38%
    mpki                             |       0.00 |       0.01 |       0.00 |       0.56
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   73206092 |   19042433 |   73280098 |   52344139
    num cache misses                 |       9301 |    2172787 |       9289 |      91630
    miss rate                        |      0.01% |     11.41% |      0.01% |      0.18%
    mpki                             |       0.04 |      42.72 |       0.04 |       0.71
  Cache L2                           |            |            |            |           
    num cache accesses               |      14427 |    2253164 |      14418 |     178515
    num cache misses                 |       5226 |     780774 |       5390 |      73880
    miss rate                        |     36.22% |     34.65% |     37.38% |     41.39%
    mpki                             |       0.02 |      15.35 |       0.02 |       0.57
DRAM summary                         |            |            |            |           
  num dram accesses                  |    1215807 |          0 |          0 |          0
  average dram access latency (ns)   |     690.27 |        inf |        inf |        inf
  average dram queueing delay        |     626.47 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     19.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
