                                     | Core 0    
  Instructions                       |  249999890
  Cycles                             |  145066780
  IPC                                |       1.72
  Time (ns)                          |   42666700
  Idle time (ns)                     |        -79
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |   43723095
  num incorrect                      |    1160500
  misprediction rate                 |      2.59%
  mpki                               |       4.64
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   34413621
    num misses                       |     844022
    miss rate                        |      2.45%
    mpki                             |       3.38
  D-TLB                              |           
    num accesses                     |   84085184
    num misses                       |    1207927
    miss rate                        |      1.44%
    mpki                             |       4.83
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   34413621
    num cache misses                 |       2855
    miss rate                        |      0.01%
    mpki                             |       0.01
  Cache L1-D                         |           
    num cache accesses               |   84085184
    num cache misses                 |    2162020
    miss rate                        |      2.57%
    mpki                             |       8.65
  Cache L2                           |           
    num cache accesses               |    2240612
    num cache misses                 |     549057
    miss rate                        |     24.50%
    mpki                             |       2.20
DRAM summary                         |           
  num dram accesses                  |    1109177
  average dram access latency (ns)   |     189.33
  average dram queueing delay        |     120.52
  average dram bandwidth utilization |     26.00%
Coherency Traffic                    |           
  num loads from dram                |          0
  num loads from dram cache          |          0
  num loads from remote cache        |          0
