                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  249999877 |   99382188 |   28079307 |   48608425
  Cycles                             |  137269900 |  137269900 |  137269900 |  137269900
  IPC                                |       1.82 |       0.72 |       0.20 |       0.35
  Time (ns)                          |   40373500 |   40373500 |   40373500 |   40373500
  Idle time (ns)                     |      33086 |      32117 |        -63 |      20064
  Idle time (%)                      |       0.1% |       0.1% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |    2177475 |    1951257 |    2276961 |      65868
  num incorrect                      |      44355 |        391 |      94665 |         19
  misprediction rate                 |      2.00% |      0.02% |      3.99% |      0.03%
  mpki                               |       0.18 |       0.00 |       3.37 |       0.00
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   21339896 |    9325828 |    3431018 |    5723867
    num misses                       |          3 |          2 |         20 |          6
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   74943574 |   43910235 |   10911544 |   37711829
    num misses                       |     120551 |      13533 |        246 |       4245
    miss rate                        |      0.16% |      0.03% |      0.00% |      0.01%
    mpki                             |       0.48 |       0.14 |       0.01 |       0.09
  L2 TLB                             |            |            |            |           
    num accesses                     |     120554 |      13535 |        266 |       4251
    num misses                       |     120554 |      13535 |        266 |       3780
    miss rate                        |    100.00% |    100.00% |    100.00% |     88.92%
    mpki                             |       0.48 |       0.14 |       0.01 |       0.08
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   21339896 |    9325828 |    3431018 |    5723867
    num cache misses                 |         40 |         37 |        495 |        347
    miss rate                        |      0.00% |      0.00% |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.02 |       0.01
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   74943574 |   43910235 |   10911544 |   37711829
    num cache misses                 |   12724690 |     835723 |      10515 |     324053
    miss rate                        |     16.98% |      1.90% |      0.10% |      0.86%
    mpki                             |      50.90 |       8.41 |       0.37 |       6.67
  Cache L2                           |            |            |            |           
    num cache accesses               |   12724741 |     835767 |      15453 |     326067
    num cache misses                 |    2163256 |     275503 |       5848 |      85193
    miss rate                        |     17.00% |     32.96% |     37.84% |     26.13%
    mpki                             |       8.65 |       2.77 |       0.21 |       1.75
DRAM summary                         |            |            |            |           
  num dram accesses                  |    7646961 |          0 |          0 |          0
  average dram access latency (ns)   |   39363.46 |        inf |        inf |        inf
  average dram queueing delay        |   39299.65 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     94.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
