                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   63275657 |  159517522 |  249999908 |  129363543
  Cycles                             |  107570560 |  107570560 |  107570560 |  107570560
  IPC                                |       0.59 |       1.48 |       2.32 |       1.20
  Time (ns)                          |   31638400 |   31638400 |   31638400 |   31638400
  Idle time (ns)                     |        -34 |          6 |        119 |         -3
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |    9616292 |     191496 |    8162413 |   10546611
  num incorrect                      |     620774 |         19 |      31041 |     244822
  misprediction rate                 |      6.06% |      0.01% |      0.38% |      2.27%
  mpki                               |       9.81 |       0.00 |       0.12 |       1.89
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   10464502 |   18813212 |   21689044 |   15226507
    num misses                       |      81885 |          6 |         20 |         55
    miss rate                        |      0.78% |      0.00% |      0.00% |      0.00%
    mpki                             |       1.29 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   29321606 |  123609252 |   73280098 |   54441456
    num misses                       |     496892 |      12509 |        164 |       6611
    miss rate                        |      1.69% |      0.01% |      0.00% |      0.01%
    mpki                             |       7.85 |       0.08 |       0.00 |       0.05
  L2 TLB                             |            |            |            |           
    num accesses                     |     578777 |      12515 |        184 |       6666
    num misses                       |     373123 |      10818 |        183 |       4028
    miss rate                        |     64.47% |     86.44% |     99.46% |     60.43%
    mpki                             |       5.90 |       0.07 |       0.00 |       0.03
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   10464502 |   18813212 |   21689044 |   15226507
    num cache misses                 |        658 |        347 |        268 |       2143
    miss rate                        |      0.01% |      0.00% |      0.00% |      0.01%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.02
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   29321606 |  123609252 |   73280098 |   54441456
    num cache misses                 |    1532699 |     982777 |      10648 |     769889
    miss rate                        |      5.23% |      0.80% |      0.01% |      1.41%
    mpki                             |      24.22 |       6.16 |       0.04 |       5.95
  Cache L2                           |            |            |            |           
    num cache accesses               |    1748226 |     983548 |      17044 |     777936
    num cache misses                 |     416381 |     204360 |       6214 |     158784
    miss rate                        |     23.82% |     20.78% |     36.46% |     20.41%
    mpki                             |       6.58 |       1.28 |       0.02 |       1.23
DRAM summary                         |            |            |            |           
  num dram accesses                  |    2434860 |          0 |          0 |          0
  average dram access latency (ns)   |    1479.89 |        inf |        inf |        inf
  average dram queueing delay        |    1416.09 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     38.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
