                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  249999877 |    6934177 |  150553901 |  110445287
  Cycles                             |  138721020 |  138721020 |  138721020 |  138721020
  IPC                                |       1.80 |       0.05 |       1.09 |       0.80
  Time (ns)                          |   40800300 |   40800300 |   40800300 |   40800300
  Idle time (ns)                     |        392 |        -52 |         67 |         82
  Idle time (%)                      |       0.0% |      -0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |    2177475 |     724134 |   15250026 |     132704
  num incorrect                      |      44355 |     136726 |     453667 |         19
  misprediction rate                 |      2.00% |     15.88% |      2.89% |      0.01%
  mpki                               |       0.18 |      19.72 |       3.01 |       0.00
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   21339896 |    1249267 |   17376083 |   13025574
    num misses                       |          3 |          7 |       8582 |          6
    miss rate                        |      0.00% |      0.00% |      0.05% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.06 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   74943574 |    4134809 |   63893259 |   85584180
    num misses                       |     120551 |     208287 |       1780 |       8680
    miss rate                        |      0.16% |      5.04% |      0.00% |      0.01%
    mpki                             |       0.48 |      30.04 |       0.01 |       0.08
  L2 TLB                             |            |            |            |           
    num accesses                     |     120554 |     208294 |      10362 |       8686
    num misses                       |     120554 |     145245 |        854 |       7557
    miss rate                        |    100.00% |     69.73% |      8.24% |     87.00%
    mpki                             |       0.48 |      20.95 |       0.01 |       0.07
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   21339896 |    1249267 |   17376083 |   13025574
    num cache misses                 |         40 |         70 |       3868 |        347
    miss rate                        |      0.00% |      0.01% |      0.02% |      0.00%
    mpki                             |       0.00 |       0.01 |       0.03 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   74943574 |    4134809 |   63893259 |   85584180
    num cache misses                 |   12724650 |     281831 |     503148 |     684608
    miss rate                        |     16.98% |      6.82% |      0.79% |      0.80%
    mpki                             |      50.90 |      40.64 |       3.34 |       6.20
  Cache L2                           |            |            |            |           
    num cache accesses               |   12724699 |     336107 |     511945 |     686665
    num cache misses                 |    2261267 |     230696 |      58252 |     197352
    miss rate                        |     17.77% |     68.64% |     11.38% |     28.74%
    mpki                             |       9.05 |      33.27 |       0.39 |       1.79
DRAM summary                         |            |            |            |           
  num dram accesses                  |    7620043 |          0 |          0 |          0
  average dram access latency (ns)   |   35380.68 |        inf |        inf |        inf
  average dram queueing delay        |   35316.87 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     93.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
