                                     | Core 0    
  Instructions                       |  249999878
  Cycles                             |  324743180
  IPC                                |       0.77
  Time (ns)                          |   95512700
  Idle time (ns)                     |        -35
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |   82311310
  num incorrect                      |      88619
  misprediction rate                 |      0.11%
  mpki                               |       0.35
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |     833813
    num misses                       |      19156
    miss rate                        |      2.30%
    mpki                             |       0.08
  D-TLB                              |           
    num accesses                     |   36958588
    num misses                       |   10717086
    miss rate                        |     29.00%
    mpki                             |      42.87
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |     833813
    num cache misses                 |        366
    miss rate                        |      0.04%
    mpki                             |       0.00
  Cache L1-D                         |           
    num cache accesses               |   36958588
    num cache misses                 |   17606553
    miss rate                        |     47.64%
    mpki                             |      70.43
  Cache L2                           |           
    num cache accesses               |   17607062
    num cache misses                 |    2449991
    miss rate                        |     13.91%
    mpki                             |       9.80
DRAM summary                         |           
  num dram accesses                  |    9688987
  average dram access latency (ns)   |      72.82
  average dram queueing delay        |       9.01
  average dram bandwidth utilization |     50.00%
Coherency Traffic                    |           
  num loads from dram                |          0
  num loads from dram cache          |          0
  num loads from remote cache        |          0
