                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  249999908 |   72225320 |  249992525 |  129309260
  Cycles                             |  107094560 |  107094560 |  107094560 |  107094560
  IPC                                |       2.33 |       0.67 |       2.33 |       1.21
  Time (ns)                          |   31498400 |   31498400 |   31498400 |   31498400
  Idle time (ns)                     |        386 |        -11 |         -6 |        -11
  Idle time (%)                      |       0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |    8162413 |   12001494 |    8162173 |   20915648
  num incorrect                      |      31041 |    1231655 |      31040 |    2433685
  misprediction rate                 |      0.38% |      9.31% |      0.38% |     10.42%
  mpki                               |       0.12 |      17.05 |       0.12 |      18.82
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   21689044 |    8140316 |   21688403 |   19131228
    num misses                       |         20 |         45 |         20 |     316899
    miss rate                        |      0.00% |      0.00% |      0.00% |      1.66%
    mpki                             |       0.00 |       0.00 |       0.00 |       2.45
  D-TLB                              |            |            |            |           
    num accesses                     |   73280098 |   25235834 |   73277915 |   52218961
    num misses                       |        164 |     322933 |        164 |      15766
    miss rate                        |      0.00% |      1.28% |      0.00% |      0.03%
    mpki                             |       0.00 |       4.47 |       0.00 |       0.12
  L2 TLB                             |            |            |            |           
    num accesses                     |        184 |     322978 |        184 |     332665
    num misses                       |        183 |     149679 |        183 |      15077
    miss rate                        |     99.46% |     46.34% |     99.46% |      4.53%
    mpki                             |       0.00 |       2.07 |       0.00 |       0.12
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   21689044 |    8140316 |   21688403 |   19131228
    num cache misses                 |        268 |        748 |        268 |      72878
    miss rate                        |      0.00% |      0.01% |      0.00% |      0.38%
    mpki                             |       0.00 |       0.01 |       0.00 |       0.56
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   73280098 |   25235834 |   73277915 |   52218961
    num cache misses                 |      11392 |    2880478 |      11386 |      91848
    miss rate                        |      0.02% |     11.41% |      0.02% |      0.18%
    mpki                             |       0.05 |      39.88 |       0.05 |       0.71
  Cache L2                           |            |            |            |           
    num cache accesses               |      18454 |    3003630 |      18476 |     178706
    num cache misses                 |       6778 |     368109 |       6477 |      70445
    miss rate                        |     36.73% |     12.26% |     35.06% |     39.42%
    mpki                             |       0.03 |       5.10 |       0.03 |       0.54
DRAM summary                         |            |            |            |           
  num dram accesses                  |    1940331 |          0 |          0 |          0
  average dram access latency (ns)   |    1602.91 |        inf |        inf |        inf
  average dram queueing delay        |    1539.11 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     30.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
