                                     | Core 0    
  Instructions                       |  249999888
  Cycles                             |  639647100
  IPC                                |       0.39
  Time (ns)                          |  188131500
  Idle time (ns)                     |        -52
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |   58823529
  num incorrect                      |          2
  misprediction rate                 |      0.00%
  mpki                               |       0.00
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   29411766
    num misses                       |          1
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |  102941175
    num misses                       |    2180942
    miss rate                        |      2.12%
    mpki                             |       8.72
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   29411766
    num cache misses                 |          2
    miss rate                        |      0.00%
    mpki                             |       0.00
  Cache L1-D                         |           
    num cache accesses               |  102941175
    num cache misses                 |   29189253
    miss rate                        |     28.36%
    mpki                             |     116.76
  Cache L2                           |           
    num cache accesses               |   29189255
    num cache misses                 |    2110868
    miss rate                        |      7.23%
    mpki                             |       8.44
DRAM summary                         |           
  num dram accesses                  |   18350156
  average dram access latency (ns)   |     258.80
  average dram queueing delay        |     189.99
  average dram bandwidth utilization |     97.00%
Coherency Traffic                    |           
  num loads from dram                |          0
  num loads from dram cache          |          0
  num loads from remote cache        |          0
