                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     300080 |  118827176 |    2287427 |  249999877
  Cycles                             |  134611780 |  134611780 |  134611780 |  134611780
  IPC                                |       0.00 |       0.88 |       0.02 |       1.86
  Time (ns)                          |   39591700 |   39591700 |   39591700 |   39591700
  Idle time (ns)                     |        -50 |       6051 |        355 |       6578
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |      43887 |    2488176 |     226329 |    2177475
  num incorrect                      |       6293 |        466 |      34969 |      44355
  misprediction rate                 |     12.54% |      0.02% |     13.38% |      2.00%
  mpki                               |      20.97 |       0.00 |      15.29 |       0.18
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |      31075 |   11234155 |     304616 |   21339896
    num misses                       |          1 |          5 |          9 |          3
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |     126609 |   52960377 |    1112313 |   74943574
    num misses                       |      10233 |      16430 |        172 |     120551
    miss rate                        |      8.08% |      0.03% |      0.02% |      0.16%
    mpki                             |      34.10 |       0.14 |       0.08 |       0.48
  L2 TLB                             |            |            |            |           
    num accesses                     |      10234 |      16435 |        181 |     120554
    num misses                       |       8015 |      16234 |        181 |     120554
    miss rate                        |     78.32% |     98.78% |    100.00% |    100.00%
    mpki                             |      26.71 |       0.14 |       0.08 |       0.48
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      31075 |   11234155 |     304616 |   21339896
    num cache misses                 |          3 |        119 |        196 |         40
    miss rate                        |      0.01% |      0.00% |      0.06% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.09 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     126609 |   52960377 |    1112313 |   74943574
    num cache misses                 |      28465 |    1059499 |      34212 |   12724689
    miss rate                        |     22.48% |      2.00% |      3.08% |     16.98%
    mpki                             |      94.86 |       8.92 |      14.96 |      50.90
  Cache L2                           |            |            |            |           
    num cache accesses               |      33193 |    1074368 |      37368 |   12724741
    num cache misses                 |      25093 |     298894 |      13102 |    2135211
    miss rate                        |     75.60% |     27.82% |     35.06% |     16.78%
    mpki                             |      83.62 |       2.52 |       5.73 |       8.54
DRAM summary                         |            |            |            |           
  num dram accesses                  |    7500564 |          0 |          0 |          0
  average dram access latency (ns)   |   33946.85 |        inf |        inf |        inf
  average dram queueing delay        |   33883.04 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     94.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
