pc:4471331 decision:0
pc:4475147 decision:0
pc:4475212 decision:0
pc:4475467 decision:0
pc:4476783 decision:0
pc:4477392 decision:0
pc:4477856 decision:0
pc:4484359 decision:2
pc:4484384 decision:0
pc:4484406 decision:0
pc:4484410 decision:2
pc:4484429 decision:0
pc:4484480 decision:0
pc:4484496 decision:0
pc:4484503 decision:0
pc:4484516 decision:0
pc:4484554 decision:2
pc:4484609 decision:0
pc:4484688 decision:0
pc:4484809 decision:0
pc:4484825 decision:0
pc:4484841 decision:0
pc:4485456 decision:0
pc:4485536 decision:0
pc:4486221 decision:0
pc:4486761 decision:0
pc:4486774 decision:2
pc:4486939 decision:0
pc:4491420 decision:0
pc:4491460 decision:0
pc:4557389 decision:3
pc:4557432 decision:0
pc:4557464 decision:2
pc:4557488 decision:1
pc:4557518 decision:3
pc:4557525 decision:0
pc:4559490 decision:0
pc:4559500 decision:0
pc:4559544 decision:1
pc:4562431 decision:1
pc:4562478 decision:0
pc:4562495 decision:0
pc:4565501 decision:0
pc:4565506 decision:2
pc:4565514 decision:0
pc:4565577 decision:0
pc:4565580 decision:1
pc:4565589 decision:3
pc:4565593 decision:3
pc:4565614 decision:3
pc:4565632 decision:0
pc:4570238 decision:2
pc:4570245 decision:2
pc:4570251 decision:2
pc:4578219 decision:0
pc:4578276 decision:0
pc:4578498 decision:0
pc:4583365 decision:2
pc:4583370 decision:2
pc:4583485 decision:1
pc:4583543 decision:3
pc:4583550 decision:2
pc:4583569 decision:2
pc:4583574 decision:3
pc:4583648 decision:2
pc:4583660 decision:2
pc:4583713 decision:2
pc:4583732 decision:2
pc:4583780 decision:0
pc:4583872 decision:0
pc:4583888 decision:0
pc:4585190 decision:2
pc:4585221 decision:0
pc:4585225 decision:2
pc:4585249 decision:2
pc:4585262 decision:2
pc:4585275 decision:2
pc:4585310 decision:2
pc:4585453 decision:2
pc:4585575 decision:0
pc:4585585 decision:2
pc:4585616 decision:0
pc:4585621 decision:2
pc:4585625 decision:2
pc:4585628 decision:0
pc:4585636 decision:0
pc:4585642 decision:2
pc:4585645 decision:0
pc:4585716 decision:2
pc:4585720 decision:0
pc:4585728 decision:2
pc:4585738 decision:0
pc:4585966 decision:0
pc:4586130 decision:0
pc:4586422 decision:3
pc:4586496 decision:0
pc:4586500 decision:0
pc:4586695 decision:3
pc:4586714 decision:2
pc:4586746 decision:2
pc:4586768 decision:2
pc:4586772 decision:2
pc:4586791 decision:2
pc:4586817 decision:2
pc:4586826 decision:0
pc:4586869 decision:0
pc:4586931 decision:3
pc:4586936 decision:3
pc:4587093 decision:2
pc:4587384 decision:0
pc:4587399 decision:2
pc:4587402 decision:0
pc:4587566 decision:2
pc:4587768 decision:2
pc:4589372 decision:2
pc:4589387 decision:0
pc:4604003 decision:0
pc:4604086 decision:0
pc:4605540 decision:3
pc:4605695 decision:1
pc:4605751 decision:1
pc:4605971 decision:1
pc:4606196 decision:2
pc:4727206 decision:0
pc:4727289 decision:0
pc:4794926 decision:0
pc:4795521 decision:0
pc:4795533 decision:0
