                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  249999901 |  138031054 |  143008160 |   35464518
  Cycles                             |  110596560 |  110596560 |  110596560 |  110596560
  IPC                                |       2.26 |       1.25 |       1.29 |       0.32
  Time (ns)                          |   32528400 |   32528400 |   32528400 |   32528400
  Idle time (ns)                     |        516 |         -0 |         92 |        -23
  Idle time (%)                      |       0.0% |      -0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |    8723419 |   11248724 |    7987313 |    7069871
  num incorrect                      |      44972 |     253468 |    1326155 |     744344
  misprediction rate                 |      0.51% |      2.20% |     14.24% |      9.53%
  mpki                               |       0.18 |       1.84 |       9.27 |      20.99
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   20402598 |   16215650 |   16567934 |    5384779
    num misses                       |         62 |         55 |         12 |          3
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |  142141424 |   58159284 |   69074133 |   14657097
    num misses                       |      13146 |       7090 |       4011 |    2734551
    miss rate                        |      0.01% |      0.01% |      0.01% |     18.66%
    mpki                             |       0.05 |       0.05 |       0.03 |      77.11
  L2 TLB                             |            |            |            |           
    num accesses                     |      13208 |       7145 |       4023 |    2734554
    num misses                       |       6516 |       4154 |        459 |    2006874
    miss rate                        |     49.33% |     58.14% |     11.41% |     73.39%
    mpki                             |       0.03 |       0.03 |       0.00 |      56.59
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   20402598 |   16215650 |   16567934 |    5384779
    num cache misses                 |        355 |       2180 |        285 |         67
    miss rate                        |      0.00% |      0.01% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.02 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |  142141424 |   58159284 |   69074133 |   14657097
    num cache misses                 |    1007730 |     828321 |    1371430 |    3742475
    miss rate                        |      0.71% |      1.42% |      1.99% |     25.53%
    mpki                             |       4.03 |       6.00 |       9.59 |     105.53
  Cache L2                           |            |            |            |           
    num cache accesses               |    1008729 |     835756 |    1392428 |    4152083
    num cache misses                 |     437239 |     160350 |      28792 |     619346
    miss rate                        |     43.35% |     19.19% |      2.07% |     14.92%
    mpki                             |       1.75 |       1.16 |       0.20 |      17.46
DRAM summary                         |            |            |            |           
  num dram accesses                  |    3936552 |          0 |          0 |          0
  average dram access latency (ns)   |     155.58 |        inf |        inf |        inf
  average dram queueing delay        |      91.77 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     60.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
