                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  249999924 |  198373041 |  249047794 |  135538094
  Cycles                             |  143385480 |  143385480 |  143385480 |  143385480
  IPC                                |       1.74 |       1.38 |       1.74 |       0.95
  Time (ns)                          |   42172200 |   42172200 |   42172200 |   42172200
  Idle time (ns)                     |        599 |        446 |        454 |        -11
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |   25146717 |    7550331 |    8796842 |   21926592
  num incorrect                      |     751036 |         49 |        378 |    2545382
  misprediction rate                 |      2.90% |      0.00% |      0.00% |     10.40%
  mpki                               |       3.00 |       0.00 |       0.00 |      18.78
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   29517026 |   16573053 |   21152358 |   20056094
    num misses                       |      12233 |          4 |         11 |     331203
    miss rate                        |      0.04% |      0.00% |      0.00% |      1.65%
    mpki                             |       0.05 |       0.00 |       0.00 |       2.44
  D-TLB                              |            |            |            |           
    num accesses                     |  107376336 |  118045539 |   82631355 |   54739669
    num misses                       |       3351 |      56581 |      47835 |      16170
    miss rate                        |      0.00% |      0.05% |      0.06% |      0.03%
    mpki                             |       0.01 |       0.29 |       0.19 |       0.12
  L2 TLB                             |            |            |            |           
    num accesses                     |      15584 |      56585 |      47846 |     347373
    num misses                       |       1223 |      56573 |      44339 |      15628
    miss rate                        |      7.85% |     99.98% |     92.67% |      4.50%
    mpki                             |       0.00 |       0.29 |       0.18 |       0.12
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   29517026 |   16573053 |   21152358 |   20056094
    num cache misses                 |       7005 |         99 |        170 |      76096
    miss rate                        |      0.02% |      0.00% |      0.00% |      0.38%
    mpki                             |       0.03 |       0.00 |       0.00 |       0.56
  Cache L1-D                         |            |            |            |           
    num cache accesses               |  107376336 |  118045539 |   82631355 |   54739669
    num cache misses                 |     816998 |    3776780 |    2606484 |      97862
    miss rate                        |      0.76% |      3.20% |      3.15% |      0.18%
    mpki                             |       3.27 |      19.04 |      10.47 |       0.72
  Cache L2                           |            |            |            |           
    num cache accesses               |     829254 |    3946299 |    2824983 |     189775
    num cache misses                 |      65098 |      86014 |    1064226 |      90857
    miss rate                        |      7.85% |      2.18% |     37.67% |     47.88%
    mpki                             |       0.26 |       0.43 |       4.27 |       0.67
DRAM summary                         |            |            |            |           
  num dram accesses                  |    7561940 |          0 |          0 |          0
  average dram access latency (ns)   |    2836.78 |        inf |        inf |        inf
  average dram queueing delay        |    2772.97 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     89.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
