                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   27495868 |  212602150 |   18248924 |  249999901
  Cycles                             |  110997080 |  110997080 |  110997080 |  110997080
  IPC                                |       0.25 |       1.92 |       0.16 |       2.25
  Time (ns)                          |   32646200 |   32646200 |   32646200 |   32646200
  Idle time (ns)                     |        -90 |          0 |        -72 |        172
  Idle time (%)                      |      -0.0% |       0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |    4229951 |    7708702 |    3626171 |    8723419
  num incorrect                      |     255008 |         72 |     385849 |      44972
  misprediction rate                 |      5.69% |      0.00% |      9.62% |      0.51%
  mpki                               |       9.27 |       0.00 |      21.14 |       0.18
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    4519698 |   17671945 |    2706257 |   20402598
    num misses                       |      34118 |          7 |          3 |         62
    miss rate                        |      0.75% |      0.00% |      0.00% |      0.00%
    mpki                             |       1.24 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   12754161 |   70348862 |    7433556 |  142141424
    num misses                       |     212806 |      33960 |    1493403 |      13146
    miss rate                        |      1.67% |      0.05% |     20.09% |      0.01%
    mpki                             |       7.74 |       0.16 |      81.84 |       0.05
  L2 TLB                             |            |            |            |           
    num accesses                     |     246924 |      33967 |    1493406 |      13208
    num misses                       |     162463 |      31397 |    1100185 |       6516
    miss rate                        |     65.79% |     92.43% |     73.67% |     49.33%
    mpki                             |       5.91 |       0.15 |      60.29 |       0.03
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    4519698 |   17671945 |    2706257 |   20402598
    num cache misses                 |        609 |        101 |         64 |        355
    miss rate                        |      0.01% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.02 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   12754161 |   70348862 |    7433556 |  142141424
    num cache misses                 |     693819 |    2002731 |    1941819 |    1007744
    miss rate                        |      5.44% |      2.85% |     26.12% |      0.71%
    mpki                             |      25.23 |       9.42 |     106.41 |       4.03
  Cache L2                           |            |            |            |           
    num cache accesses               |     851069 |    2143865 |    2166676 |    1008826
    num cache misses                 |     565646 |     861933 |    1081924 |     455951
    miss rate                        |     66.46% |     40.20% |     49.93% |     45.20%
    mpki                             |      20.57 |       4.05 |      59.29 |       1.82
DRAM summary                         |            |            |            |           
  num dram accesses                  |    5679672 |          0 |          0 |          0
  average dram access latency (ns)   |     143.23 |        inf |        inf |        inf
  average dram queueing delay        |      79.43 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     87.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
