                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   30468938 |  249999877 |   72687454 |  157549361
  Cycles                             |  153372980 |  153372980 |  153372980 |  153372980
  IPC                                |       0.20 |       1.63 |       0.47 |       1.03
  Time (ns)                          |   45109700 |   45109700 |   45109700 |   45109700
  Idle time (ns)                     |        470 |       4798 |        -33 |       4443
  Idle time (%)                      |       0.0% |       0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |    4924828 |    2177475 |    4519409 |    5135641
  num incorrect                      |     580576 |      44355 |         49 |      18854
  misprediction rate                 |     10.55% |      2.00% |      0.00% |      0.37%
  mpki                               |      19.05 |       0.18 |       0.00 |       0.12
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    4506895 |   21339896 |    5774080 |   13659266
    num misses                       |      76621 |          3 |          4 |         20
    miss rate                        |      1.70% |      0.00% |      0.00% |      0.00%
    mpki                             |       2.51 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   12304984 |   74943574 |   34949622 |   46182372
    num misses                       |       4399 |     120551 |      20545 |        110
    miss rate                        |      0.04% |      0.16% |      0.06% |      0.00%
    mpki                             |       0.14 |       0.48 |       0.28 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |      81020 |     120554 |      20549 |        130
    num misses                       |       3992 |     120554 |      20537 |        130
    miss rate                        |      4.93% |    100.00% |     99.94% |    100.00%
    mpki                             |       0.13 |       0.48 |       0.28 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    4506895 |   21339896 |    5774080 |   13659266
    num cache misses                 |      18401 |         40 |         99 |        268
    miss rate                        |      0.41% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.60 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   12304984 |   74943574 |   34949622 |   46182372
    num cache misses                 |      27195 |   12724702 |    1351835 |      16205
    miss rate                        |      0.22% |     16.98% |      3.87% |      0.04%
    mpki                             |       0.89 |      50.90 |      18.60 |       0.10
  Cache L2                           |            |            |            |           
    num cache accesses               |      50529 |   12724758 |    1521390 |      29577
    num cache misses                 |      27243 |    2475656 |      20603 |       5983
    miss rate                        |     53.92% |     19.46% |      1.35% |     20.23%
    mpki                             |       0.89 |       9.90 |       0.28 |       0.04
DRAM summary                         |            |            |            |           
  num dram accesses                  |    8401599 |          0 |          0 |          0
  average dram access latency (ns)   |   54279.51 |        inf |        inf |        inf
  average dram queueing delay        |   54215.71 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     93.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
