                                     | Core 0    
  Instructions                       |  249999899
  Cycles                             |  132651000
  IPC                                |       1.88
  Time (ns)                          |   39015000
  Idle time (ns)                     |        -26
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |   50599339
  num incorrect                      |     809591
  misprediction rate                 |      1.57%
  mpki                               |       3.24
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   33797865
    num misses                       |     662853
    miss rate                        |      1.96%
    mpki                             |       2.65
  D-TLB                              |           
    num accesses                     |   79438924
    num misses                       |    1070825
    miss rate                        |      1.35%
    mpki                             |       4.28
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   33797865
    num cache misses                 |       2405
    miss rate                        |      0.01%
    mpki                             |       0.01
  Cache L1-D                         |           
    num cache accesses               |   79438924
    num cache misses                 |    1459084
    miss rate                        |      1.84%
    mpki                             |       5.84
  Cache L2                           |           
    num cache accesses               |    1551238
    num cache misses                 |     338036
    miss rate                        |     21.79%
    mpki                             |       1.35
DRAM summary                         |           
  num dram accesses                  |     721817
  average dram access latency (ns)   |      72.46
  average dram queueing delay        |       8.66
  average dram bandwidth utilization |      9.00%
Coherency Traffic                    |           
  num loads from dram                |          0
  num loads from dram cache          |          0
  num loads from remote cache        |          0
