                                     | Core 0    
  Instructions                       |  249999887
  Cycles                             |  622954460
  IPC                                |       0.40
  Time (ns)                          |  183221900
  Idle time (ns)                     |        -22
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |   53650174
  num incorrect                      |    3858571
  misprediction rate                 |      6.71%
  mpki                               |      15.43
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   29244145
    num misses                       |          3
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   84685525
    num misses                       |   27504404
    miss rate                        |     32.48%
    mpki                             |     110.02
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   29244145
    num cache misses                 |         64
    miss rate                        |      0.00%
    mpki                             |       0.00
  Cache L1-D                         |           
    num cache accesses               |   84685525
    num cache misses                 |   29676322
    miss rate                        |     35.04%
    mpki                             |     118.71
  Cache L2                           |           
    num cache accesses               |   31093051
    num cache misses                 |    3512716
    miss rate                        |     11.30%
    mpki                             |      14.05
DRAM summary                         |           
  num dram accesses                  |   20141546
  average dram access latency (ns)   |      98.37
  average dram queueing delay        |      34.57
  average dram bandwidth utilization |     55.00%
Coherency Traffic                    |           
  num loads from dram                |          0
  num loads from dram cache          |          0
  num loads from remote cache        |          0
