                                     | Core 0    
  Instructions                       |  249999891
  Cycles                             |  159052000
  IPC                                |       1.57
  Time (ns)                          |   46780000
  Idle time (ns)                     |        -43
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |   20274602
  num incorrect                      |     362066
  misprediction rate                 |      1.75%
  mpki                               |       1.45
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   29340762
    num misses                       |        168
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   65785717
    num misses                       |     124377
    miss rate                        |      0.19%
    mpki                             |       0.50
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   29340762
    num cache misses                 |        463
    miss rate                        |      0.00%
    mpki                             |       0.00
  Cache L1-D                         |           
    num cache accesses               |   65785717
    num cache misses                 |    3441859
    miss rate                        |      5.23%
    mpki                             |      13.77
  Cache L2                           |           
    num cache accesses               |    3461869
    num cache misses                 |     323609
    miss rate                        |      9.35%
    mpki                             |       1.29
DRAM summary                         |           
  num dram accesses                  |    2984507
  average dram access latency (ns)   |     161.93
  average dram queueing delay        |      98.13
  average dram bandwidth utilization |     31.00%
Coherency Traffic                    |           
  num loads from dram                |          0
  num loads from dram cache          |          0
  num loads from remote cache        |          0
