                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   84257046 |   54488813 |     846889 |  249999890
  Cycles                             |  189625480 |  189625480 |  189625480 |  189625480
  IPC                                |       0.44 |       0.29 |       0.00 |       1.32
  Time (ns)                          |   55772200 |   55772200 |   55772200 |   55772200
  Idle time (ns)                     |     450295 |     441148 |        -18 |     450858
  Idle time (%)                      |       0.8% |       0.8% |      -0.0% |       0.8%
Branch predictor stats               |            |            |            |           
  num correct                        |    2744978 |    4080547 |      23518 |   42421595
  num incorrect                      |       9965 |         49 |       3591 |     101717
  misprediction rate                 |      0.36% |      0.00% |     13.25% |      0.24%
  mpki                               |       0.12 |       0.00 |       4.24 |       0.41
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    7303603 |    4210440 |      89521 |   32037627
    num misses                       |         20 |          4 |          9 |          4
    miss rate                        |      0.00% |      0.00% |      0.01% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.01 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   24698819 |   22917731 |     420470 |   74242672
    num misses                       |         86 |      15328 |        155 |     103574
    miss rate                        |      0.00% |      0.07% |      0.04% |      0.14%
    mpki                             |       0.00 |       0.28 |       0.18 |       0.41
  L2 TLB                             |            |            |            |           
    num accesses                     |        106 |      15332 |        164 |     103578
    num misses                       |        106 |      15320 |        164 |     103578
    miss rate                        |    100.00% |     99.92% |    100.00% |    100.00%
    mpki                             |       0.00 |       0.28 |       0.19 |       0.41
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    7303603 |    4210440 |      89521 |   32037627
    num cache misses                 |        268 |         99 |        196 |         17
    miss rate                        |      0.00% |      0.00% |      0.22% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.23 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   24698819 |   22917731 |     420470 |   74242672
    num cache misses                 |      10549 |    1000609 |       7789 |    6626221
    miss rate                        |      0.04% |      4.37% |      1.85% |      8.93%
    mpki                             |       0.13 |      18.36 |       9.20 |      26.50
  Cache L2                           |            |            |            |           
    num cache accesses               |      19436 |    1170109 |      10181 |    9374654
    num cache misses                 |       3001 |      11829 |       5471 |        264
    miss rate                        |     15.44% |      1.01% |     53.74% |      0.00%
    mpki                             |       0.04 |       0.22 |       6.46 |       0.00
DRAM summary                         |            |            |            |           
  num dram accesses                  |   10505239 |          0 |          0 |          0
  average dram access latency (ns)   |  124167.65 |        inf |        inf |        inf
  average dram queueing delay        |  124103.85 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     94.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
