                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  174641459 |  234121726 |  250000173 |  135995455
  Cycles                             |  169780020 |  169780020 |  169780020 |  169780020
  IPC                                |       1.03 |       1.38 |       1.47 |       0.80
  Time (ns)                          |   49935300 |   49935300 |   49935300 |   49935300
  Idle time (ns)                     |         28 |         88 |        188 |        -25
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |   28260644 |    8412415 |     304251 |   11193274
  num incorrect                      |    3249042 |         49 |         19 |     253859
  misprediction rate                 |     10.31% |      0.00% |      0.01% |      2.22%
  mpki                               |      18.60 |       0.00 |       0.00 |       1.87
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   25857189 |   19644602 |   29479678 |   16272066
    num misses                       |     423642 |          4 |          6 |         97
    miss rate                        |      1.64% |      0.00% |      0.00% |      0.00%
    mpki                             |       2.43 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   70590054 |  141680491 |  193748574 |   36795419
    num misses                       |      19633 |      66831 |      19821 |      88797
    miss rate                        |      0.03% |      0.05% |      0.01% |      0.24%
    mpki                             |       0.11 |       0.29 |       0.08 |       0.65
  L2 TLB                             |            |            |            |           
    num accesses                     |     443275 |      66835 |      19827 |      88894
    num misses                       |      19542 |      66823 |      17034 |      75619
    miss rate                        |      4.41% |     99.98% |     85.91% |     85.07%
    mpki                             |       0.11 |       0.29 |       0.07 |       0.56
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   25857189 |   19644602 |   29479678 |   16272066
    num cache misses                 |      96576 |         99 |        347 |        454
    miss rate                        |      0.37% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.55 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   70590054 |  141680491 |  193748574 |   36795419
    num cache misses                 |     123629 |    4466564 |    1557877 |    2028232
    miss rate                        |      0.18% |      3.15% |      0.80% |      5.51%
    mpki                             |       0.71 |      19.08 |       6.23 |      14.91
  Cache L2                           |            |            |            |           
    num cache accesses               |     240275 |    4636150 |    1559956 |    2052349
    num cache misses                 |     119832 |     104747 |     347339 |     241688
    miss rate                        |     49.87% |      2.26% |     22.27% |     11.78%
    mpki                             |       0.69 |       0.45 |       1.39 |       1.78
DRAM summary                         |            |            |            |           
  num dram accesses                  |    8028229 |          0 |          0 |          0
  average dram access latency (ns)   |    1522.84 |        inf |        inf |        inf
  average dram queueing delay        |    1459.04 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     80.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
