                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  249999917 |  249999917 |   47364884 |  101332636
  Cycles                             |  197036120 |  197036120 |  197036120 |  197036120
  IPC                                |       1.27 |       1.27 |       0.24 |       0.51
  Time (ns)                          |   57951800 |   57951800 |   57951800 |   57951800
  Idle time (ns)                     |         82 |         21 |         -0 |         -3
  Idle time (%)                      |       0.0% |       0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |   20313250 |   20313250 |    9434011 |   17228157
  num incorrect                      |     364707 |     364707 |     994633 |    1756804
  misprediction rate                 |      1.76% |      1.76% |      9.54% |      9.25%
  mpki                               |       1.46 |       1.46 |      21.00 |      17.34
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   29058969 |   29058969 |    7189068 |   11501259
    num misses                       |         55 |         55 |          3 |         45
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |  106541846 |  106541846 |   19789941 |   34243346
    num misses                       |      13057 |      13057 |    3560322 |     400022
    miss rate                        |      0.01% |      0.01% |     17.99% |      1.17%
    mpki                             |       0.05 |       0.05 |      75.17 |       3.95
  L2 TLB                             |            |            |            |           
    num accesses                     |      13112 |      13112 |    3560325 |     400067
    num misses                       |       5773 |       5773 |    2593301 |     189431
    miss rate                        |     44.03% |     44.03% |     72.84% |     47.35%
    mpki                             |       0.02 |       0.02 |      54.75 |       1.87
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   29058969 |   29058969 |    7189068 |   11501259
    num cache misses                 |       2658 |       2658 |         67 |        769
    miss rate                        |      0.01% |      0.01% |      0.00% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.00 |       0.01
  Cache L1-D                         |            |            |            |           
    num cache accesses               |  106541846 |  106541846 |   19789941 |   34243346
    num cache misses                 |    1595041 |    1595035 |    4929826 |    3955222
    miss rate                        |      1.50% |      1.50% |     24.91% |     11.55%
    mpki                             |       6.38 |       6.38 |     104.08 |      39.03
  Cache L2                           |            |            |            |           
    num cache accesses               |    1603288 |    1603297 |    5570822 |    4231096
    num cache misses                 |     210144 |     209595 |    1195850 |     906519
    miss rate                        |     13.11% |     13.07% |     21.47% |     21.43%
    mpki                             |       0.84 |       0.84 |      25.25 |       8.95
DRAM summary                         |            |            |            |           
  num dram accesses                  |    7379619 |          0 |          0 |          0
  average dram access latency (ns)   |    1303.99 |        inf |        inf |        inf
  average dram queueing delay        |    1240.19 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     63.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
