                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  230122813 |  250000173 |    8198457 |  206141632
  Cycles                             |  215005460 |  215005460 |  215005460 |  215005460
  IPC                                |       1.07 |       1.16 |       0.04 |       0.96
  Time (ns)                          |   63236900 |   63236900 |   63236900 |   63236900
  Idle time (ns)                     |        -10 |      17054 |       3301 |       3417
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |    8354279 |     304251 |     224701 |   35147621
  num incorrect                      |         85 |         19 |         15 |     101428
  misprediction rate                 |      0.00% |      0.01% |      0.01% |      0.29%
  mpki                               |       0.00 |       0.00 |       0.00 |       0.49
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   19138491 |   29479678 |     485324 |   27296105
    num misses                       |         10 |          6 |          4 |          4
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   76145176 |  193748574 |    3079182 |   59336338
    num misses                       |      38627 |      19821 |       9246 |      84411
    miss rate                        |      0.05% |      0.01% |      0.30% |      0.14%
    mpki                             |       0.17 |       0.08 |       1.13 |       0.41
  L2 TLB                             |            |            |            |           
    num accesses                     |      38637 |      19827 |       9250 |      84415
    num misses                       |      35946 |      17034 |       9248 |      84415
    miss rate                        |     93.04% |     85.91% |     99.98% |    100.00%
    mpki                             |       0.16 |       0.07 |       1.13 |       0.41
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   19138491 |   29479678 |     485324 |   27296105
    num cache misses                 |        132 |        347 |         25 |         17
    miss rate                        |      0.00% |      0.00% |      0.01% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   76145176 |  193748574 |    3079182 |   59336338
    num cache misses                 |    2175431 |    1558077 |     165575 |    5400325
    miss rate                        |      2.86% |      0.80% |      5.38% |      9.10%
    mpki                             |       9.45 |       6.23 |      20.20 |      26.20
  Cache L2                           |            |            |            |           
    num cache accesses               |    2334949 |    1560472 |     165678 |    7498716
    num cache misses                 |     942169 |     354795 |     112264 |        278
    miss rate                        |     40.35% |     22.74% |     67.76% |      0.00%
    mpki                             |       4.09 |       1.42 |      13.69 |       0.00
DRAM summary                         |            |            |            |           
  num dram accesses                  |   12127930 |          0 |          0 |          0
  average dram access latency (ns)   |    9201.44 |        inf |        inf |        inf
  average dram queueing delay        |    9137.64 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     95.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
