                                     | Core 0     
  Instructions                       |   249999905
  Cycles                             |  1108125280
  IPC                                |        0.23
  Time (ns)                          |   325919200
  Idle time (ns)                     |         -98
  Idle time (%)                      |       -0.0%
Branch predictor stats               |            
  num correct                        |    25770832
  num incorrect                      |     5597971
  misprediction rate                 |      17.85%
  mpki                               |       22.39
TLB Summary                          |            
  I-TLB                              |            
    num accesses                     |    40421219
    num misses                       |           7
    miss rate                        |       0.00%
    mpki                             |        0.00
  D-TLB                              |            
    num accesses                     |   151753713
    num misses                       |     9531491
    miss rate                        |       6.28%
    mpki                             |       38.13
Cache Summary                        |            
  Cache L1-I                         |            
    num cache accesses               |    40421219
    num cache misses                 |          80
    miss rate                        |       0.00%
    mpki                             |        0.00
  Cache L1-D                         |            
    num cache accesses               |   151753713
    num cache misses                 |    14014033
    miss rate                        |       9.23%
    mpki                             |       56.06
  Cache L2                           |            
    num cache accesses               |    16103396
    num cache misses                 |     7105291
    miss rate                        |      44.12%
    mpki                             |       28.42
DRAM summary                         |            
  num dram accesses                  |    18882978
  average dram access latency (ns)   |    51224.28
  average dram queueing delay        |    51160.47
  average dram bandwidth utilization |      28.00%
Coherency Traffic                    |            
  num loads from dram                |           0
  num loads from dram cache          |           0
  num loads from remote cache        |           0
